date,distance
2004-04-11 00:00:00,12.53
2004-06-12 00:00:00,12.65
2005-03-16 00:00:00,13.09
2005-04-28 00:00:00,12.47
2005-05-20 00:00:00,12.63
2005-07-13 00:00:00,12.32
2005-07-31 00:00:00,12.64
2006-03-18 00:00:00,12.62
2006-03-29 00:00:00,13.18
2006-04-16 00:00:00,12.94
2006-04-27 00:00:00,12.47
2006-07-14 00:00:00,12.47
2006-08-15 00:00:00,12.81
2007-02-17 00:00:00,12.97
2007-03-17 00:00:00,13.2
2007-03-24 00:00:00,13.5
2007-03-28 00:00:00,12.96
2007-03-28 00:00:00,13.52
2007-04-08 00:00:00,12.85
2007-04-26 00:00:00,13.36
2007-05-27 00:00:00,13.51
2007-06-23 00:00:00,13.51
2007-07-08 00:00:00,13.38
2008-01-26 00:00:00,13.43
2008-02-09 00:00:00,13.72
2008-03-01 00:00:00,13.43
2008-03-15 00:00:00,13.82
2008-04-05 00:00:00,13.65
2008-04-19 00:00:00,13.47
2008-04-25 00:00:00,13.42
2008-05-31 00:00:00,13.69
2008-05-31 00:00:00,13.83
2008-06-13 00:00:00,13.58
2008-06-14 00:00:00,13.78
2009-01-16 00:00:00,14.03
2009-02-28 00:00:00,13.79
2009-03-14 00:00:00,13.81
2009-04-18 00:00:00,13.54
2009-04-18 00:00:00,13.63
2009-04-24 00:00:00,13.66
2009-05-30 00:00:00,13.98
2009-06-12 00:00:00,13.71
2009-06-13 00:00:00,13.88
2009-06-13 00:00:00,14.38
2009-06-27 00:00:00,14.04
2009-07-03 00:00:00,13.78
2009-08-15 00:00:00,14.08
2010-02-13 00:00:00,14.17
2010-02-27 00:00:00,14.23
2010-03-11 00:00:00,13.65
2010-03-13 00:00:00,13.95
2010-04-10 00:00:00,13.52
2010-04-17 00:00:00,13.47
2010-04-17 00:00:00,13.38
2010-04-17 00:00:00,13.03
2010-05-08 00:00:00,13.51
2010-05-08 00:00:00,13.91
2010-05-15 00:00:00,13.46
2010-05-29 00:00:00,14.03
2010-06-10 00:00:00,13.58
2010-06-27 00:00:00,13.84
2010-07-09 00:00:00,13.9
2010-07-09 00:00:00,14.14
2010-07-27 00:00:00,14.23
2011-02-12 00:00:00,13.86
2011-02-26 00:00:00,13.96
2011-03-12 00:00:00,13.96
2011-04-09 00:00:00,14.25
2011-04-09 00:00:00,14.05
2011-04-23 00:00:00,14.05
2011-05-07 00:00:00,14.25
2011-05-27 00:00:00,13.28
2011-06-10 00:00:00,13.67
2011-08-30 00:00:00,14.06
2012-01-27 00:00:00,13.82
2012-02-11 00:00:00,14.28
2012-03-09 00:00:00,14.15
2012-03-10 00:00:00,14.27
2012-04-14 00:00:00,11.68
2012-04-14 00:00:00,13.9
2012-05-01 00:00:00,14.19
2012-05-05 00:00:00,14.33
2012-05-27 00:00:00,14.27
2012-05-31 00:00:00,14.52
2012-06-09 00:00:00,14.45
2012-07-01 00:00:00,14.52
2012-07-14 00:00:00,14.0
2012-07-20 00:00:00,14.5
2012-08-03 00:00:00,14.53
2012-08-05 00:00:00,14.48
2012-08-23 00:00:00,14.35
2012-08-26 00:00:00,14.37
2012-09-07 00:00:00,13.9
2013-04-13 00:00:00,11.86
2013-04-13 00:00:00,13.72
2013-05-04 00:00:00,14.0
2013-05-18 00:00:00,13.99
2013-06-01 00:00:00,14.78
2013-06-01 00:00:00,14.25
2013-06-13 00:00:00,13.98
2013-06-23 00:00:00,14.4
2013-07-06 00:00:00,14.48
2013-07-26 00:00:00,14.38
2013-08-13 00:00:00,14.36
2013-08-15 00:00:00,14.62
2013-08-22 00:00:00,13.84
2013-09-03 00:00:00,14.38
2013-09-06 00:00:00,14.34
2014-01-25 00:00:00,14.26
2014-03-07 00:00:00,14.35
2014-03-08 00:00:00,14.39
2014-05-09 00:00:00,14.15
2014-06-05 00:00:00,13.71
2014-06-08 00:00:00,14.56
2014-06-14 00:00:00,14.31
2014-06-14 00:00:00,14.3
2014-06-29 00:00:00,14.07
2014-07-18 00:00:00,14.59
2014-07-28 00:00:00,13.94
2014-07-29 00:00:00,14.21
2014-08-24 00:00:00,14.04
2014-09-05 00:00:00,14.25
2014-09-13 00:00:00,13.93
2015-06-28 00:00:00,14.34
2015-07-04 00:00:00,14.2
2015-07-24 00:00:00,14.15
2015-07-30 00:00:00,14.22
2015-08-22 00:00:00,14.23
2015-08-24 00:00:00,14.45
2015-09-11 00:00:00,14.28
2016-02-26 00:00:00,13.89
2016-06-02 00:00:00,14.38
2016-06-05 00:00:00,14.36
2016-06-05 00:00:00,14.3
2016-07-03 00:00:00,14.66
2016-07-03 00:00:00,14.56
2016-07-15 00:00:00,14.47
2016-07-28 00:00:00,14.02
2016-08-13 00:00:00,14.22
